2-theta,Experimental XRD,Fit,Difference,Background
2.14800E+1,3.94000E+2,3.76265E+2,1.77348E+1,3.60743E+2
2.15000E+1,3.90000E+2,3.77464E+2,1.25362E+1,3.60159E+2
2.15200E+1,3.40000E+2,3.78989E+2,-3.89887E+1,3.59576E+2
2.15400E+1,4.12000E+2,3.80924E+2,3.10762E+1,3.58994E+2
2.15600E+1,3.84000E+2,3.83381E+2,6.18652E-1,3.58414E+2
2.15800E+1,3.92000E+2,3.86516E+2,5.48438E+0,3.57834E+2
2.16000E+1,3.51000E+2,3.90542E+2,-3.95415E+1,3.57255E+2
2.16200E+1,4.30000E+2,3.95766E+2,3.42342E+1,3.56678E+2
2.16400E+1,3.97000E+2,4.02638E+2,-5.63773E+0,3.56102E+2
2.16600E+1,3.89000E+2,4.11846E+2,-2.28464E+1,3.55526E+2
2.16800E+1,3.80000E+2,4.24529E+2,-4.45290E+1,3.54952E+2
2.17000E+1,4.56000E+2,4.42921E+2,1.30786E+1,3.54379E+2
2.17200E+1,4.95000E+2,4.72424E+2,2.25757E+1,3.53807E+2
2.17400E+1,5.84000E+2,5.26705E+2,5.72953E+1,3.53236E+2
2.17600E+1,6.79000E+2,6.34677E+2,4.43229E+1,3.52666E+2
2.17800E+1,8.30000E+2,8.38957E+2,-8.95691E+0,3.52097E+2
2.18000E+1,1.23900E+3,1.16919E+3,6.98116E+1,3.51530E+2
2.18200E+1,1.76600E+3,1.57811E+3,1.87895E+2,3.50963E+2
2.18400E+1,2.04700E+3,1.84953E+3,1.97466E+2,3.50398E+2
